iter	TotalF1	MultiClass
761	0.5996071891	0.8636870949
762	0.5995888961	0.8636265046
763	0.5995888961	0.8636226273
764	0.599465921	0.8635422454
765	0.5995820466	0.863466956
766	0.5997508182	0.8633526042
767	0.5998625886	0.8632188657
768	0.5999576096	0.8631679977
769	0.6000094069	0.8630961806
770	0.6000028603	0.8630946181
771	0.6000416112	0.8630116898
772	0.6002572723	0.8629332176
773	0.6001924449	0.8628277778
774	0.6002830944	0.8627737269
775	0.6004860629	0.8626910301
776	0.6005221413	0.8625995949
777	0.600456296	0.8625265046
778	0.6004084101	0.862481713
779	0.6004561306	0.8624090856
780	0.6004944617	0.8623625579
781	0.6006088992	0.8622865741
782	0.600792701	0.8621087384
783	0.6009454723	0.8620391204
784	0.6010933982	0.8618979745
785	0.6012610998	0.8618023727
786	0.6013579927	0.8617204861
787	0.6014846362	0.8615572338
788	0.6012779257	0.8615015625
789	0.6013940551	0.8614151042
790	0.6014819498	0.8613293981
791	0.6014082447	0.8613233218
792	0.6014559156	0.8612998264
793	0.6014539697	0.8611950231
794	0.6017277034	0.8610829282
795	0.6018855149	0.8609467593
796	0.6020461552	0.8608627894
797	0.6019501638	0.8608003472
798	0.6020620867	0.8607640046
799	0.6020330686	0.8607340278
800	0.6020494628	0.8606781829
801	0.6021808376	0.8606397569
802	0.602220156	0.8605090856
803	0.6022091941	0.8604923611
804	0.6021752889	0.8604274884
805	0.602285497	0.8603573495
806	0.6023185091	0.8603280093
807	0.6023052715	0.8602784144
808	0.602581464	0.8602000579
809	0.6027644761	0.8600423611
810	0.6028306865	0.8599965856
811	0.6029337281	0.8599113426
812	0.6028500688	0.859837037
813	0.6030940153	0.8597384838
814	0.6031912483	0.8596734375
815	0.6030606313	0.859557581
816	0.6031353711	0.8595036458
817	0.6031923133	0.8593949653
818	0.6033333194	0.8592851852
819	0.6034466714	0.8592175926
820	0.6033918063	0.8591586227
821	0.6036110674	0.8590557292
822	0.6036102821	0.8590394097
823	0.6037575169	0.8589684028
824	0.6039026328	0.8588768519
825	0.6039570867	0.8588428241
826	0.6040722345	0.8587741898
827	0.6039856729	0.8587074653
828	0.6039760838	0.8585993056
829	0.6040152179	0.8585396991
830	0.6041135077	0.8584372106
831	0.6043380968	0.858370544
832	0.6043968916	0.8583218171
833	0.6044007978	0.8582133681
834	0.6042831143	0.8581762731
835	0.6042957629	0.8581640046
836	0.6043268016	0.8581489005
837	0.6043851278	0.8580298032
838	0.6045161122	0.8579434028
839	0.604523627	0.8578344329
840	0.6045579128	0.8577875
841	0.6047701689	0.8577098958
842	0.6047783278	0.8576951968
843	0.6046580407	0.8576574074
844	0.6049524302	0.8575683449
845	0.6050781333	0.8575188657
846	0.6049597744	0.8574608796
847	0.6049322568	0.8574028356
848	0.6049691462	0.8573028935
849	0.6050167018	0.8572515625
850	0.6050731594	0.8571896991
851	0.6050862773	0.8570691551
852	0.6051001021	0.8570162037
853	0.60532145	0.8569212384
854	0.605420889	0.8568574074
855	0.6055573894	0.8568189815
856	0.6056361208	0.8567445602
857	0.6055781308	0.8567220486
858	0.6056313556	0.8566412616
859	0.605672559	0.8566103588
860	0.6056900754	0.8565533565
861	0.6057609239	0.8564983796
862	0.6058418304	0.8564292824
863	0.6060744992	0.8563216435
864	0.6061237706	0.8562627315
865	0.6063152725	0.8561414931
866	0.6063325844	0.8560816551
867	0.6064012151	0.8559823495
868	0.606450179	0.8558706019
869	0.6064818044	0.8558368634
870	0.6066193629	0.8557287616
871	0.60670343	0.8556834491
872	0.6066351132	0.8556498264
873	0.6066140386	0.8556159722
874	0.6068454382	0.855558912
875	0.6068862799	0.8555030093
876	0.6070067703	0.8554498264
877	0.607076608	0.8553956019
878	0.6069511307	0.8552964699
879	0.6071419153	0.8552074653
880	0.6070832338	0.855169213
